0.528889	0.488889	0.380741	0.311111	0.358222	0.257778	0.240635	0.194444	0.2	0.146667	0.263434
0.335556	0.295556	0.268889	0.228889	0.238667	0.197037	0.18	0.183889	0.119012	0.152444	0.189293
0.417778	0.347407	0.208889	0.168148	0.155556	0.195556	0.229418	0.126667	0.124444	0.114667	0.12431
0.331111	0.261111	0.191111	0.17	0.0793333	0.157037	0.0993651	0.112222	0.158765	0.0753333	0.129293
0.306667	0.137333	0.189926	0.180889	0.135111	0.200296	0.143619	0.0408889	0.0932346	0.114667	0.0800808
0.17037	0.179259	0.1	0.121111	0.135852	0.1	0.0940741	0.101852	0.0646913	0.0565926	0.0590572
0.217143	0.263175	0.116614	0.121905	0.155429	0.143915	0.0603175	0.0481746	0.0976367	0.0850159	0.0827705
0.228889	0.0772222	0.129815	0.117222	0.103111	0.0992593	0.0557937	0.07	0.0691975	0.0553333	0.0572222
0.175309	0.182469	0.119012	0.125309	0.0904691	0.102716	0.053545	0.121173	0.0572839	0.0733333	0.0711111
0.220444	0.109778	0.14563	0.0591111	0.0675556	0.0682963	0.0691429	0.0472222	0.061037	0.114667	0.0732525
0.173333	0.172727	0.140741	0.0427273	0.099798	0.0816835	0.0595671	0.0798485	0.051358	0.0761616	0.0533333
